,0
1920,1
1921,1
1922,1
1923,3
1924,1
1925,1
1926,1
1927,2
1928,10
1929,2
1930,3
1931,2
1932,1
1933,1
1934,1
1935,1
1936,1
1937,1
1938,1
1939,1
1940,1
1941,1
1942,1
1943,2
1944,1
1945,2
1946,1
1947,2
1948,2
1949,1
1950,1
1951,1
1952,1
1953,1
1954,2
1955,1
1956,1
1957,1
1958,1
1959,2
1960,1
1961,1
1962,3
1963,2
1964,2
1965,1
1966,1
1967,1
1968,2
1969,2
1970,4
1971,1
1972,1
1973,2
1974,1
1975,1
1976,1
1977,1
1978,1
1979,1
1980,1
1981,1
1982,1
1983,1
1984,3
1985,2
1986,1
1987,1
1988,1
1989,3
1990,3
1991,2
1992,1
1993,1
1994,1
1995,3
1996,3
1997,6
1998,2
1999,1
2000,6
2001,1
2002,2
2003,1
2004,1
2005,1
2006,2
2007,9
2008,1
2009,2
2010,1
2011,4
2012,3
2013,2
2014,2
2015,2
2016,1
2017,1
2018,1
2019,2
2020,1
2021,1
2022,3
2023,1
2024,3
2025,4
2026,3
2027,9
2028,2
2029,6
2030,4
2031,2
2032,3
2033,1
2034,3
2035,4
2036,4
2037,3
2038,4
2039,3
2040,9
2041,3
2042,4
2043,4
2044,1
2045,2
2046,1
2047,6
2048,3
2049,2
2050,2
2051,3
2052,1
2053,2
2054,2
2055,1
2056,3
2057,11
2058,7
2059,3
2060,39
2061,3
2062,16
2063,2
2064,2
2065,4
2066,1
2067,1
2068,1
2069,1
2070,3
2071,1
2072,3
2073,3
2074,1
2075,1
2076,4
2077,3
2078,3
2079,2
2080,5
2081,5
2082,1
2083,2
2084,2
2085,4
2086,1
2087,4
2088,2
2089,1
2090,3
2091,1
2092,1
2093,1
2094,5
2095,2
2096,2
2097,5
2098,5
2099,3
2100,1
2101,5
2102,6
2103,2
2104,1
2105,1
2106,1
2107,1
2108,2
2109,1
2110,1
2111,1
2112,1
2113,1
2114,1
2115,3
2116,1
2117,1
2118,1
2119,1
2120,1
2121,2
2122,3
2123,1
2124,1
2125,1
2126,1
2127,1
2128,1
2129,1
2130,7
2131,2
2132,1
2133,4
2134,1
2135,1
2136,4
2137,1
2138,4
2139,4
2140,1
2141,2
2142,1
2143,1
2144,2
2145,2
2146,2
2147,10
2148,6
2149,6
2150,2
2151,2
2152,2
2153,2
2154,4
2155,1
2156,1
2157,1
2158,1
2159,1
2160,1
2161,2
2162,2
2163,2
2164,3
2165,1
2166,6
2167,1
2168,3
2169,2
2170,1
2171,2
2172,1
2173,2
2174,1
2175,2
2176,1
2177,1
2178,3
2179,17
2180,1
2181,1
2182,1
2183,1
2184,1
2185,3
2186,3
2187,1
2188,3
2189,5
2190,1
2191,1
2192,6
2193,1
2194,1
2195,1
2196,1
2197,1
2198,3
2199,3
2200,2
2201,4
2202,4
2203,3
2204,1
2205,2
2206,2
2207,1
2208,2
2209,2
2210,2
2211,1
2212,5
2213,1
2214,1
2215,2
2216,2
2217,3
2218,1
2219,1
2220,1
2221,2
2222,1
2223,3
2224,1
2225,1
2226,1
2227,1
2228,2
2229,2
2230,4
2231,2
2232,1
2233,1
2234,2
2235,6
2236,1
2237,11
2238,2
2239,1
2240,4
2241,1
2242,1
2243,4
2244,3
2245,1
2246,1
2247,1
2248,4
2249,3
2250,1
2251,2
2252,2
2253,1
2254,2
2255,1
2256,1
2257,5
2258,6
2259,1
2260,2
2261,1
2262,7
2263,1
2264,6
2265,8
2266,1
2267,1
2268,1
2269,2
2270,2
2271,1
2272,3
2273,1
2274,4
2275,1
2276,1
2277,1
2278,1
2279,1
2280,1
2281,1
2282,1
2283,3
2284,1
2285,1
2286,1
2287,2
2288,1
2289,2
2290,2
2291,1
2292,1
2293,1
2294,2
2295,1
2296,1
2297,5
2298,2
2299,1
2300,1
2301,2
2302,1
2303,1
2304,5
2305,1
2306,2
2307,1
2308,6
2309,3
2310,5
2311,3
2312,1
2313,1
2314,2
2315,2
2316,1
2317,1
2318,5
2319,2
2320,1
2321,1
2322,1
2323,1
2324,2
2325,1
2326,2
2327,3
2328,1
2329,1
2330,2
2331,3
2332,4
2333,6
2334,4
2335,1
2336,1
2337,2
2338,1
2339,2
2340,2
2341,1
2342,1
2343,5
2344,1
2345,1
2346,1
2347,4
2348,3
2349,1
2350,2
2351,2
2352,3
2353,4
2354,2
2355,1
2356,2
2357,2
2358,4
2359,1
2360,1
2361,10
2362,1
2363,1
2364,1
2365,16
2366,5
2367,4
2368,3
2369,4
2370,1
2371,1
2372,1
2373,2
2374,1
2375,1
2376,4
2377,1
2378,2
2379,1
2380,1
2381,3
2382,1
2383,1
2384,1
2385,2
